publication_id,Lien Google Scholar,Editors,Book,Publisher,chercheur,chercheur_id,Titre_publication,Auteurs,Lien,Journal,Conference,date_publication,Volumes,nombre_pages,Type,BestSJR,Best Quartile
coead2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_u5IOC4AAAAJ&citation_for_view=_u5IOC4AAAAJ:zYLM7Y9cAGgC,"Ecole nationale Supérieure d'Informatique, ESI, ex INI",,,bousbia nabila,1,Contribution théorique et méthodologique à l'élaboration d'un environnement de FOAD,N Bousbia,,Mémoire de Magister,,2005,,,journal,,
scpad2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_u5IOC4AAAAJ&citation_for_view=_u5IOC4AAAAJ:roLk4NBRz8UC,,,,bousbia nabila,1,Scénarisation des contenus pédagogiques destinés à la FOAD,Nabila BOUSBIA and Amar BALLA,,"Conférence Internationale sur l'Informatique et ses Applications, CIIA06",,2006,,15-16,journal,,
taies2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_u5IOC4AAAAJ&citation_for_view=_u5IOC4AAAAJ:KlAtU1dfN6UC,,,,bousbia nabila,1,TAALIM: un outil de modélisation de contenus pédagogiques,Nabila BOUSBIA,,,"Premières Rencontres Jeunes Chercheurs en EIAH, 2006. 11 et 12 Mai 2006, Paris, France.",2006,,,conference,,
peton2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_u5IOC4AAAAJ&citation_for_view=_u5IOC4AAAAJ:u-x6o8ySG0sC,INRP,,,bousbia nabila,1,Perception de l'activité de l'apprenant dans un environnement de formation,Nabila Bousbia and Jean-Marc Labat,,,Environnements Informatiques pour l'Apprentissage Humain (EIAH 2007),2007,,233-238,conference,,
pread2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_u5IOC4AAAAJ&citation_for_view=_u5IOC4AAAAJ:Wp0gIr-vW9MC,Laboratoire SIR Departement G  nie Informatique Ecole Mohammadia d'ing  nieurs,,,bousbia nabila,1,Processus de mod  lisation de contenus p  dagogiques destin  s  la FOAD,Nabila Bousbia and Amar Balla,,,,2007,,,,,
aiuad2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_u5IOC4AAAAJ&citation_for_view=_u5IOC4AAAAJ:UebtZRa9Y70C,,,,bousbia nabila,1,Aide à l'évaluation de la similarité sémantique entre un cours et les pages visitées par un apprenant dans une FOAD,Mouna Khatraoui and Nabila Bousbia and Amar Balla,,,"1ère Conférence Internationale Systèmes d'Information et Intelligence Economique, 14-16 Février 2008, Hammamet, Tunisie",2008,,448-459,conference,,
deoes2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_u5IOC4AAAAJ&citation_for_view=_u5IOC4AAAAJ:IjCSPb-OGe4C,Springer Berlin Heidelberg,,Springer,bousbia nabila,1,Detection of Learning Styles from Learner's Browsing Behavior During E-Learning Activities,Nabila Bousbia and Jean-Marc Labat and Amar Balla,https://doi.org/10.1007/978-3-540-69132-7_95,,International Conference on Intelligent Tutoring Systems,2008,,740-742,conference,,
dtsge2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_u5IOC4AAAAJ&citation_for_view=_u5IOC4AAAAJ:UeHWp8X0CEIC,,,,bousbia nabila,1,Détection de similarité sémantique entre pages visitées durant une session d'apprentissage,Mouna Khatraoui and Nabila Bousbia and Amar Balla,,Atelier Mesures de Similarité Sémantique (EGC'08). 8èmes Journées Francophones Extraction et Gestion des Connaissances,,2008,,121-129,journal,,
dtnrs2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_u5IOC4AAAAJ&citation_for_view=_u5IOC4AAAAJ:mVmsd5A6BfQC,,,,bousbia nabila,1,Détection des comportements d'apprenant à base d'indicateurs de parcours,S Ait-Adda and N Bousbia and A Balla,,"Proceedings of the 1st International Conference on Web and Information Technologies, ICWIT08, Sidi Bel Abes, Algeria",,2008,2930.0,,journal,,
dtyue2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_u5IOC4AAAAJ&citation_for_view=_u5IOC4AAAAJ:YsMSGLbcyi4C,,,,bousbia nabila,1,Détection des Styles d'Apprentissage par l'Analyse des Comportements dans un Espace Numérique,Nabila Bousbia and Jean-Marc Labat and Issam Rebai and Amar Balla,,,Technologies de l'Information et de la Communication pour l'Education,2008,,35-42,conference,,
honon2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_u5IOC4AAAAJ&citation_for_view=_u5IOC4AAAAJ:qjMakFHDy7sC,,,,bousbia nabila,1,How to determine the Learners' Learning Styles in e-Learning Situation?,Nabila Bousbia and Jean-Marc Labat and Issam Rebai and Amar Balla,,"Proceedings of the 16th International Conference on Computers in Education, ICCE",,2008,,,journal,,
venrs2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_u5IOC4AAAAJ&citation_for_view=_u5IOC4AAAAJ:9ZlFYXVOiuMC,,,,bousbia nabila,1,Vers une adaptabilité du scénario d'apprentissage à base d'indicateur de parcours,Samia Ait-Adda and Nabila Bousbia and Amar Balla,,,"International Conference on Web and InformationTechnologies, ICWIT'08",2008,,294-299,conference,,
vepnt2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_u5IOC4AAAAJ&citation_for_view=_u5IOC4AAAAJ:kNdYIx-mwKoC,,,,bousbia nabila,1,Vers une personnalisation des EIAH par la détection des styles d'apprentissage à partir de l'analyse des comportements de l'apprenant,Nabila Bousbia,,,2nd Rencontre des Jeunes Chercheurs en EIAH,2008,,113-118,conference,,
